category,pck@0.05,pck@0.10,pck@0.20,sensitivity
bird,83.2895653728987,94.14943832678875,98.64394192385645,15.354376550957738
cat,70.60238511488512,80.38435684685685,93.00497187997189,22.402586765086767
bus,35.547789844122505,45.714908607103524,59.45758880221796,23.909798958095458
cow,67.316105844405,81.65607071618825,94.18742260679421,26.871316762389213
person,62.62932751009674,78.10258971797434,89.68387638003023,27.054548869933484
horse,63.41581427831427,79.99520757020755,90.57863432863432,27.16282005032005
aeroplane,59.42688475992083,73.48744687395582,86.6197480765895,27.19286331666867
car,33.928758888865275,46.49227570105229,62.6244335353378,28.695674646472526
sheep,55.499104813310154,70.69965196282968,86.3649382401597,30.865833426849548
dog,61.2118302993303,76.96025456025455,92.1888699263699,30.977039627039602
motorbike,45.59987337765115,62.40345045900602,80.12249581694024,34.522622439289094
tvmonitor,33.88457520321682,50.1514413653142,69.3183392153768,35.433764012159976
pottedplant,39.599077450005524,60.45773026921518,75.42886605531618,35.829788605310654
boat,29.377685072129516,45.8803644914756,65.49897119341564,36.121286121286126
bicycle,45.475641025641025,64.22220557220557,82.83774558774559,37.36210456210456
bottle,40.58369823024995,58.539226418536764,78.64550264550265,38.061804415252695
train,49.00873193531924,73.16456764869463,91.10892818234088,42.100196247021636
chair,34.968068567139774,51.91580220604989,77.78166449993076,42.81359593279098
